L 164.4, -18.9, 20.3, 150.0, -16.4, 20.2, 0, 0, 255
L 150.0, -16.4, 20.2, 148.4, -16.2, 20.2, 0, 0, 255
L 148.4, -16.2, 20.2, 129.1, -14.5, 20.7, 0, 0, 255
L 129.1, -14.5, 20.7, 127.8, -14.5, 20.7, 0, 0, 255
L 127.8, -14.5, 20.7, 118.6, -15.1, 20.7, 0, 0, 255
L 118.6, -15.1, 20.7, 116.8, -15.8, 20.8, 0, 0, 255
L 116.8, -15.8, 20.8, 106.7, -19.6, 19.7, 0, 0, 255
L 106.7, -19.6, 19.7, 105.2, -20.1, 19.4, 0, 0, 255
L 105.2, -20.1, 19.4, 100.6, -21.1, 18.7, 0, 0, 255
L 100.6, -21.1, 18.7, 99.0, -21.3, 18.4, 0, 0, 255
L 99.0, -21.3, 18.4, 95.2, -21.5, 17.2, 0, 0, 255
L 95.2, -21.5, 17.2, 93.7, -21.3, 16.9, 0, 0, 255
L 93.7, -21.3, 16.9, 80.8, -19.6, 11.6, 0, 0, 255
L 80.8, -19.6, 11.6, 79.0, -19.6, 11.3, 0, 0, 255
L 79.0, -19.6, 11.3, 76.9, -19.7, 10.6, 0, 0, 255
L 76.9, -19.7, 10.6, 75.1, -19.9, 10.4, 0, 0, 255
L 75.1, -19.9, 10.4, 61.5, -21.7, 1.3, 0, 0, 255
L 61.5, -21.7, 1.3, 59.9, -22.4, 1.2, 0, 0, 255
L 59.9, -22.4, 1.2, 57.7, -23.5, 2.8, 0, 0, 255
L 57.7, -23.5, 2.8, 55.8, -23.7, 4.4, 0, 0, 255
L 55.8, -23.7, 4.4, 26.0, -22.2, -0.7, 0, 0, 255
L 26.0, -22.2, -0.7, -14.4, -20.3, -0.5, 0, 0, 255
L -14.4, -20.3, -0.5, -17.8, -20.5, -0.4, 0, 0, 255
L -17.8, -20.5, -0.4, -19.1, -21.2, -0.2, 0, 0, 255
L -19.1, -21.2, -0.2, -27.2, -25.4, 0.2, 0, 0, 255
L -27.2, -25.4, 0.2, -28.6, -26.6, 0.2, 0, 0, 255
L -28.6, -26.6, 0.2, -38.1, -34.3, -0.2, 0, 0, 255
L -38.1, -34.3, -0.2, -39.7, -35.4, -0.3, 0, 0, 255
L -39.7, -35.4, -0.3, -41.3, -36.3, -0.5, 0, 0, 255
L -41.3, -36.3, -0.5, -43.0, -37.0, -0.7, 0, 0, 255
L -43.0, -37.0, -0.7, -44.5, -37.5, -0.9, 0, 0, 255
L -44.5, -37.5, -0.9, -46.1, -37.9, -0.8, 0, 0, 255
L -46.1, -37.9, -0.8, -47.9, -37.9, -0.5, 0, 0, 255
L -47.9, -37.9, -0.5, -49.2, -36.8, -0.5, 0, 0, 255
L -49.2, -36.8, -0.5, -54.6, -32.5, -0.7, 0, 0, 255
L -54.6, -32.5, -0.7, -55.9, -31.2, -0.8, 0, 0, 255
